,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
0,CANCER-PHON,ANOTHER-CONTROL,BZ2,-1,8.425550969441732,0.903186884322942,7.697653532028198,11.655561447143555,7.843017756938934,8.079267740249634,8.584228992462158,0.7412112355232239,7.697653532028198,9.092473983764648,3.0
1,CANCER-PHON,ANOTHER-CONTROL,GZIP,-1,12.39158119360606,0.7746507050108957,11.63289475440979,15.32020092010498,12.022801995277405,12.140858888626099,12.324900031089783,0.30209803581237793,11.63289475440979,12.6200692653656,4.0
2,CANCER-PHON,ANOTHER-CONTROL,HEVC,11,64.08357044061025,9.94285045742555,53.381619453430176,83.79979467391968,56.56379193067551,58.6177237033844,72.32691073417664,15.76311880350113,53.381619453430176,83.79979467391968,0.0
3,CANCER-PHON,ANOTHER-CONTROL,JP2,12,15.24902520974477,0.9171165482956514,13.887138605117798,17.84448766708374,14.710794031620026,15.131237983703613,15.459159791469574,0.7483657598495483,13.887138605117798,16.38006901741028,3.0
4,CANCER-PHON,ANOTHER-CONTROL,PPMD,-1,8.95510196685791,0.5665111145216759,8.391345977783203,11.261899948120117,8.559062540531158,8.867124557495117,9.142401576042175,0.5833390355110168,8.391345977783203,9.786339282989502,1.0
5,CANCER-PHON,ANOTHER-CONTROL,WEBP,19,23.58909407456716,3.12322801973018,20.8376727104187,35.605297327041626,22.3027925491333,22.72416615486145,23.554730355739594,1.2519378066062927,20.8376727104187,25.313068628311157,3.0
6,CANCER-PHON,ANOTHER-CONTROL,ZLIB,-1,4.740537126859029,0.35149126438975375,3.892304897308349,5.368360757827759,4.762907385826111,4.785643219947815,4.915615379810333,0.1527079939842224,4.731823921203613,5.002353668212891,6.0
7,CANCER-PHON,API,BZ2,-1,7.48791610399882,0.8369726832241267,6.876726150512695,9.79562497138977,7.019581973552704,7.0769782066345215,7.369032323360443,0.34945034980773926,6.876726150512695,7.6458656787872314,6.0
8,CANCER-PHON,API,GZIP,16,5.455513103802999,0.7058582396923444,5.002068996429443,6.933316946029663,5.05131435394287,5.126850008964539,5.278334558010101,0.2270202040672311,5.002068996429443,5.427232503890991,6.0
9,CANCER-PHON,API,HEVC,5,24.732018144925437,0.3465087983416889,24.25690531730652,25.782578706741333,24.512472569942474,24.63297212123871,24.8330060839653,0.32053351402282715,24.25690531730652,25.229121446609497,2.0
10,CANCER-PHON,API,JP2,7,7.607718793551127,0.07353653822398953,7.514259576797485,7.815143585205078,7.552599251270294,7.578267574310303,7.658570051193237,0.10597079992294312,7.514259576797485,7.815143585205078,0.0
11,CANCER-PHON,API,PPMD,4,0.977079312006632,0.5221299585705493,0.7892992496490471,2.921554565429687,0.8063958883285518,0.8346241712570186,0.8793824911117548,0.07298660278320301,0.7892992496490471,0.915964365005493,3.0
12,CANCER-PHON,API,WEBP,9,8.207442649205525,0.18207908375765497,8.083910942077637,9.07306981086731,8.136874079704285,8.159552335739136,8.201022684574127,0.06414860486984253,8.083910942077637,8.228864669799805,3.0
13,CANCER-PHON,API,ZLIB,16,2.5050507624944047,0.6812787899711364,2.107912063598633,4.656094074249268,2.1584085822105408,2.231923460960388,2.359836041927337,0.20142745971679643,2.107912063598633,2.604658126831054,5.0
14,CANCER-PHON,CONC,BZ2,10,1.9304775635401403,0.3490797343465194,1.8084979057312012,3.739794492721557,1.8363888859748838,1.849812507629394,1.8885457515716548,0.05215686559677102,1.8084979057312012,1.923033952713012,2.0
15,CANCER-PHON,CONC,GZIP,4,1.385486014684041,0.44161472107311195,1.241519689559936,3.02833890914917,1.2530557513236993,1.2660814523696895,1.2782319188117979,0.02517616748809859,1.241519689559936,1.313427209854126,3.0
16,CANCER-PHON,CONC,HEVC,15,82.63948969046275,0.7944151594544567,81.44593667984009,84.68820357322693,82.07734847068787,82.60031008720398,83.00115621089935,0.9238077402114868,81.44593667984009,84.18529415130615,1.0
17,CANCER-PHON,CONC,JP2,5,5.890943646430969,0.5804491138269616,5.560845375061035,7.838048458099365,5.6092212200164795,5.645745277404785,5.763125777244568,0.15390455722808838,5.560845375061035,5.818882942199707,6.0
18,CANCER-PHON,CONC,PPMD,17,3.881441116333008,0.8607815672774669,3.317785024642944,5.7095787525177,3.446132123470306,3.484024167060851,3.5571925640106192,0.11106044054031328,3.317785024642944,3.633731365203857,6.0
19,CANCER-PHON,CONC,WEBP,3,3.1993692239125564,0.054169745156300415,3.146327495574951,3.393095016479492,3.1676611304283138,3.182124376296996,3.209745645523071,0.04208451509475708,3.146327495574951,3.271218538284301,2.0
20,CANCER-PHON,CONC,ZLIB,4,0.6686174869537349,0.34297017041256694,0.54315161705017,2.476648569107055,0.5856205821037288,0.602383494377136,0.6346731781959525,0.04905259609222368,0.54315161705017,0.683315515518188,1.0
21,CANCER-PHON,LOGIC,BZ2,7,1.3742271502812702,0.3596290562109768,1.246056079864502,3.260899305343628,1.2874951958656307,1.306205034255981,1.3279913663864136,0.040496170520782915,1.246056079864502,1.3507328033447261,2.0
22,CANCER-PHON,LOGIC,GZIP,7,2.169351037343343,0.4682431278971081,1.962099552154541,3.921635150909424,2.013561427593231,2.0460309982299805,2.0941043496131893,0.08054292201995805,1.962099552154541,2.144226312637329,2.0
23,CANCER-PHON,LOGIC,HEVC,7,33.671567718187966,0.5163890951475173,32.83057975769043,35.58905529975891,33.39922934770584,33.60433006286621,33.82651364803314,0.427284300327301,32.83057975769043,34.43269443511963,1.0
